as_of_date,ticker,smartscore,setup,near_miss,has_signal,setup_strength,trend_context,volume_bonus,base_tightness_bonus,meaningful_level_bonus,fibonacci_bonus,entry_price,actual_price,actual_return_pct,direction_correct
2025-02-18,XLE,73.0,Breakout,False,True,16.686071997838454,10.0,0.0,12.0,0.0,-15.0,45.65,47.02,3.0,True
2025-03-04,XLE,,,False,False,,,,,,,43.5,39.53,-9.13,False
2025-03-18,XLE,,,False,False,,,,,,,45.68,40.23,-11.93,False
2025-04-01,XLE,70.0,Breakout,False,True,30.02974694303429,10.0,-10.0,0.0,0.0,-10.0,47.02,42.62,-9.36,False
2025-04-15,XLE,,,False,False,,,,,,,39.53,41.12,4.02,True
2025-04-30,XLE,,,False,False,,,,,,,40.23,43.3,7.63,True
2025-05-14,XLE,,,False,False,,,,,,,42.62,42.64,0.05,True
2025-05-29,XLE,,,False,False,,,,,,,41.12,44.06,7.15,True
2025-06-12,XLE,,,False,False,,,,,,,43.3,44.05,1.73,True
2025-06-27,XLE,75.0,,True,True,0.0,10.0,-10.0,0.0,10.0,15.0,42.64,42.13,-1.2,False
2025-07-14,XLE,64.0,Breakout,False,True,17.370811509797907,10.0,-10.0,12.0,0.0,-15.0,44.06,44.18,0.27,True
2025-07-28,XLE,77.0,Breakout,False,True,20.415808485492185,10.0,0.0,12.0,0.0,-15.0,44.05,43.8,-0.57,False
2025-08-11,XLE,100.0,Pullback,False,True,38.21321019124162,10.0,0.0,0.0,8.0,15.0,42.13,44.6,5.86,True
2025-08-25,XLE,85.0,Breakout,False,True,30.925364672948113,10.0,5.0,12.0,0.0,-15.0,44.18,44.74,1.27,True
2025-09-09,XLE,95.0,,True,True,0.0,10.0,15.0,0.0,10.0,10.0,43.8,43.34,-1.05,False
2025-09-23,XLE,75.0,,True,True,0.0,10.0,15.0,0.0,10.0,-10.0,44.6,43.59,-2.26,False
2025-10-07,XLE,65.0,,True,True,0.0,10.0,5.0,0.0,10.0,-10.0,44.74,45.52,1.74,True
2025-10-21,XLE,,,False,False,,,,,,,43.34,45.92,5.95,True
2025-11-04,XLE,,,False,False,,,,,,,43.59,44.79,2.75,True
2025-11-18,XLE,85.0,Breakout,False,True,25.10111139331447,10.0,5.0,12.0,0.0,-15.0,45.52,45.65,0.29,True
2025-12-03,XLE,73.0,Breakout,False,True,26.163402487508037,10.0,-10.0,12.0,0.0,-15.0,45.92,47.695,3.87,True
2025-12-17,XLE,100.0,Pullback,False,True,22.522811784772486,10.0,5.0,0.0,10.0,15.0,44.79,50.045,11.73,True
2026-01-02,XLE,81.0,Breakout,False,True,19.140998739154774,10.0,0.0,12.0,0.0,-10.0,45.65,53.755,17.75,True
2026-01-16,XLE,79.0,Breakout,False,True,29.91306261952816,10.0,0.0,0.0,0.0,-10.0,47.695,56.53,18.52,True
2026-02-02,XLE,88.0,Breakout,False,True,33.92449866657998,10.0,5.0,0.0,0.0,-10.0,50.045,58.51,16.91,True
2026-02-17,XLE,83.0,Breakout,False,True,33.421314113347066,10.0,0.0,0.0,0.0,-10.0,53.755,61.23,13.91,True
